Name,CountryOperatorOwner,OperatorOwner,Users,Purpose,ApogeeKM,LaunchMassKG,DateOfLaunch,LaunchSite
Shijian 11-08 (SJ-11-08),China,Chinese Academy of Space Technology (CAST),Government,Technology Development,705,,10/27/2014,Jiuquan Satellite Launch Center
Shijian 12 (SJ-12),China,Chinese Academy of Space Technology (CAST),Government,Technology Development,601,,6/15/2010,Jiuquan Satellite Launch Center
Shijian 15 (SJ-15),China,Chinese Academy of Space Technology (CAST),Government,Technology Development,673,,7/19/2013,Taiyuan Launch Center
Shijian 16-01 (SJ-16),China,Chinese Academy of Space Technology (CAST),Government,Technology Development,616,,10/25/2013,Jiuquan Satellite Launch Center
Shijian 16-02,China,Chinese Academy of Space Technology (CAST),Government,Technology Development,594,,6/29/2016,Jiuquan Satellite Launch Center
Shijian 17,China,Chinese Academy of Space Technology (CAST),Government,Technology Development,35796,3800,11/3/2016,Wenchang Satellite Launch Center
"Shijian 6A (SJ-6A, Dong Fang Hong 60)",China,Chinese Academy of Space Technology (CAST),Government,Space Science,606,,9/8/2004,Taiyuan Launch Center
Shijian 6B (SJ-6B),China,Chinese Academy of Space Technology (CAST),Government,Space Science,598,,9/8/2004,Taiyuan Launch Center
Shijian 6C (SJ-6-02A),China,Chinese Academy of Space Technology (CAST),Government,Space Science,594,,10/23/2006,Taiyuan Launch Center
Shijian 6D (SJ-6-02B),China,Chinese Academy of Space Technology (CAST),Government,Space Science,595,,10/23/2006,Taiyuan Launch Center
"Shijian 6E (SJ6-03A, SJ-6E)",China,Chinese Academy of Space Technology (CAST),Government,Space Science,607,,10/25/2008,Taiyuan Launch Center
"Shijian 6F (SJ6-03B, SJ-6F)",China,Chinese Academy of Space Technology (CAST),Government,Space Science,603,,10/25/2008,Taiyuan Launch Center
Shijian 6G (SJ6-04A),China,Chinese Academy of Space Technology (CAST),Government,Earth Observation,603,,10/6/2010,Taiyuan Launch Center
Shijian 6H (SJ6_04B),China,Chinese Academy of Space Technology (CAST),Government,Earth Observation,602,,10/6/2010,Taiyuan Launch Center
"Shijian 7 (SJ7, Dong Fang Hong 65)",China,Chinese Academy of Space Technology (CAST),Government,Space Science,591,,7/5/2005,Jiuquan Satellite Launch Center
Shijian 9A (SJ 9A),China,Shanghai Academy of Space Technology (CAST),Government,Technology Development,650,,10/14/2012,Taiyuan Launch Center
Shijian 9B (SJ 9B),China,Shanghai Academy of Space Technology (CAST),Government,Technology Development,651,,10/14/2012,Taiyuan Launch Center
"Shiyan 1 (SY 1, Tansuo 1, Experimental Satellite 1)",China,Chinese Academy of Space Technology (CAST),Government,Earth Observation,601,204,4/18/2004,Xichang Satellite Launch Center
